City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavieng,0,PG,1589961033,80,-2.57,150.8,301.66,6.62
1,Cape Town,95,ZA,1589961037,72,-33.93,18.42,291.48,1.5
2,Saskylakh,100,RU,1589961039,97,71.92,114.08,275.52,3.38
3,Romhány,100,HU,1589961040,67,47.93,19.26,293.15,1.03
4,Albany,100,US,1589960763,54,42.6,-73.97,283.71,0.31
5,George Town,40,MY,1589961043,70,5.41,100.34,307.04,3.6
6,Hinton,19,CA,1589961044,74,53.4,-117.59,279.15,1.62
7,Butaritari,0,KI,1589961039,75,3.07,172.79,302.03,6.66
8,Punta Arenas,95,CL,1589961048,84,-53.15,-70.92,273.15,1.5
9,Hong Kong,40,HK,1589960970,70,22.29,114.16,304.26,8.2
10,Semenivka,6,UA,1589961051,69,52.18,32.58,286.32,5.67
11,Nikolskoye,75,RU,1589961052,61,59.7,30.79,283.15,4.0
12,Severo-Kuril'sk,23,RU,1589961053,84,50.68,156.12,276.57,5.55
13,Ushuaia,36,AR,1589961019,74,-54.8,-68.3,274.15,2.1
14,Bluff,98,NZ,1589961042,77,-46.6,168.33,281.93,4.21
15,Mossamedes,75,AO,1589961057,94,-15.2,12.15,297.15,0.59
16,Upernavik,64,GL,1589961058,98,72.79,-56.15,271.91,3.65
17,Datong,98,CN,1589961059,17,40.09,113.29,299.49,2.6
18,Kumul,100,CN,1589961062,15,42.8,93.45,306.36,5.45
19,Shah Alam,20,MY,1589960861,67,3.09,101.53,307.15,3.6
20,Jining,27,CN,1589961065,19,35.41,116.58,306.72,3.97
21,Dębno,0,PL,1589961066,58,52.74,14.7,289.82,0.89
22,Shenyang,75,CN,1589961068,60,41.79,123.43,293.15,3.0
23,Rikitea,100,PF,1589961069,84,-23.12,-134.97,298.13,6.82
24,Ballina,90,AU,1589961047,88,-28.87,153.57,292.15,2.1
25,Lüderitz,0,NA,1589961071,18,-26.65,15.16,303.15,9.8
26,Hilo,90,US,1589961055,83,19.73,-155.09,297.15,2.1
27,Provideniya,0,RU,1589961075,84,64.38,-173.3,274.47,2.7
28,Bambous Virieux,40,MU,1589961076,65,-20.34,57.76,298.71,6.2
29,Saint Paul Harbor,40,US,1589961077,75,57.79,-152.41,281.15,2.6
30,Marzuq,83,YE,1589961078,16,14.4,46.47,306.8,2.86
31,Shenjiamen,3,CN,1589961068,68,29.96,122.3,294.25,6.27
32,Laguna,1,US,1589960919,71,38.42,-121.42,287.15,2.6
33,East London,0,ZA,1589961082,63,-33.02,27.91,291.15,3.1
34,Mataura,96,NZ,1589961038,79,-46.19,168.86,278.35,1.31
35,Konosha,100,RU,1589961084,88,60.97,40.26,280.51,4.05
36,Klaksvík,75,FO,1589961085,100,62.23,-6.59,282.15,6.2
