City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lüderitz,0,NA,1590021217,28,-26.65,15.16,68.0,2.24
Hithadhoo,19,MV,1590020712,75,-0.6,73.08,84.06,11.3
Voh,93,NC,1590021233,61,-20.97,164.7,76.21,5.75
Saint-Pierre,75,RE,1590021237,64,-21.34,55.48,71.6,13.87
Busselton,0,AU,1590020587,67,-33.65,115.33,50.0,5.41
Port Elizabeth,0,ZA,1590021245,76,-33.92,25.57,55.4,3.36
Namatanai,3,PG,1590021128,65,-3.67,152.43,86.76,8.77
Airai,97,TL,1590021247,95,-8.93,125.41,66.29,4.23
Avarua,75,CK,1590021249,51,-21.21,-159.78,84.2,10.29
Atuona,0,PF,1590021250,78,-9.8,-139.03,80.76,16.89
Ushuaia,40,AR,1590020449,86,-54.8,-68.3,37.4,2.24
Cape Town,16,ZA,1590021153,34,-33.93,18.42,71.01,6.93
Rikitea,77,PF,1590020769,76,-23.12,-134.97,76.21,19.01
Huicungo,94,PE,1590021265,91,-7.28,-76.8,72.55,0.92
Saint-Philippe,75,RE,1590021267,64,-21.36,55.77,71.6,13.87
Alice Springs,100,AU,1590021274,50,-23.7,133.88,55.4,10.29
Bluff,99,NZ,1590021280,64,-46.6,168.33,56.77,20.51
Mount Gambier,90,AU,1590021038,81,-37.83,140.77,50.0,6.93
New Norfolk,4,AU,1590021286,61,-42.78,147.06,52.0,3.0
Beloha,0,MG,1590021287,86,-25.17,45.05,62.22,9.91
Castro,4,BR,1590020587,90,-24.79,-50.01,57.06,4.81
Hobart,20,AU,1590020724,53,-42.88,147.33,53.01,10.29
Lebu,0,CL,1590020740,78,-37.62,-73.65,50.41,3.04
Luau,0,AO,1590021307,65,-10.71,22.22,60.15,6.17
Punta Arenas,93,CL,1590020528,86,-53.15,-70.92,41.0,18.34
Kirakira,30,SB,1590021310,74,-10.45,161.92,84.16,11.23
Anori,0,BR,1590021314,86,-3.77,-61.64,77.07,2.06
Te Anau,100,NZ,1590021315,70,-45.42,167.72,53.55,11.41
Cururupu,100,BR,1590021327,93,-1.83,-44.87,76.41,3.42
Uíge,28,AO,1590021337,87,-7.61,15.06,66.83,2.04
Vaini,75,TO,1590020752,69,-21.2,-175.2,77.0,12.75
Port Alfred,42,ZA,1590020760,58,-33.59,26.89,64.0,1.01
Broken Hill,0,AU,1590021359,61,-31.95,141.43,50.0,20.8
Hwange,6,ZW,1590021360,54,-18.37,26.5,56.41,5.1
Tutóia,37,BR,1590021364,86,-2.76,-42.27,79.03,10.22
Mataura,100,NZ,1590020779,56,-46.19,168.86,48.67,7.05
Bredasdorp,4,ZA,1590020829,54,-34.53,20.04,59.0,9.17
Sydney,100,AU,1590021267,72,-33.87,151.21,63.0,5.82
Vaitape,1,PF,1590021375,77,-16.52,-151.75,80.44,16.8
Mpongwe,0,ZM,1590021377,67,-13.51,28.16,55.13,6.06
Conde,20,BR,1590021383,100,-7.26,-34.91,75.2,2.24
São João da Barra,36,BR,1590021385,72,-21.64,-41.05,71.65,10.49
Mar del Plata,90,AR,1590021386,93,-38.0,-57.56,55.4,13.87
Hermanus,14,ZA,1590021388,38,-34.42,19.23,68.02,6.11
Caravelas,1,BR,1590021393,83,-17.71,-39.25,72.77,8.7
Arraial do Cabo,20,BR,1590021400,93,-22.97,-42.03,66.2,2.24
Chui,100,UY,1590021402,72,-33.7,-53.46,70.2,9.53
Bengkulu,99,ID,1590021407,65,-3.8,102.27,80.76,6.06
Rocha,100,UY,1590021408,87,-34.48,-54.33,65.77,8.81
Rio Grande,96,BR,1590021304,77,-32.03,-52.1,66.99,10.33
Buala,35,SB,1590021419,73,-8.14,159.59,85.57,10.65
Cepu,85,ID,1590021423,80,-7.15,111.59,82.26,1.77
San Vicente,0,AR,1590021242,70,-26.62,-54.13,66.85,4.94
Puerto Ayora,0,EC,1590021438,90,-0.74,-90.35,75.0,1.99
Alofi,75,NU,1590021442,78,-19.06,-169.92,80.6,12.75
Esperance,90,AU,1590021445,93,-33.87,121.9,53.6,8.05
